TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals
org.apache.commons.lang3.time.DurationFormatUtils,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8777644981877265,1307,1158
org.apache.commons.lang3.time.DateUtils,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9107110223937473,2146,1989
org.apache.commons.lang3.time.FastDateFormat,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9276556776556777,456,406
org.apache.commons.lang3.time.FormatCache,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.40322186807615845,255,100
org.apache.commons.lang3.time.FastDateParser,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.6607308554920348,1349,926
org.apache.commons.lang3.time.StopWatch,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9186129836084465,393,368
org.apache.commons.lang3.time.FastDatePrinter,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.58438569853256,2011,1127
org.apache.commons.lang3.time.DateFormatUtils,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9166666666666666,220,188
org.apache.commons.lang3.SerializationUtils,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7764930555555555,199,151
org.apache.commons.lang3.CharSet,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9681944444444445,374,371
org.apache.commons.lang3.CharRange,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7868844215474401,539,424
org.apache.commons.lang3.ClassUtils,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8319669140403199,1652,1281
org.apache.commons.lang3.builder.IDKey,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9625,55,52
org.apache.commons.lang3.builder.ReflectionToStringBuilder,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9017668172528073,417,366
org.apache.commons.lang3.builder.ToStringStyle,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8615248575861784,1928,1675
